n_labeled,threshold,accuracy,f1_macro,n_pseudo_added
50,Supervised,0.3466666666666667,0.3223869463869464,0
50,0.25,0.3466666666666667,0.33632107023411373,590
50,0.3,0.25333333333333335,0.22887218045112778,600
50,0.35,0.3466666666666667,0.3223869463869464,0
50,0.4,0.3466666666666667,0.3223869463869464,0
50,0.5,0.3466666666666667,0.3223869463869464,0
50,0.7,0.3466666666666667,0.3223869463869464,0
50,0.85,0.3466666666666667,0.3223869463869464,0
100,Supervised,0.5066666666666667,0.49002860998343334,0
100,0.25,0.4533333333333333,0.45585162663423534,596
100,0.3,0.37333333333333335,0.35524579124579125,566
100,0.35,0.5066666666666667,0.49002860998343334,0
100,0.4,0.5066666666666667,0.49002860998343334,0
100,0.5,0.5066666666666667,0.49002860998343334,0
100,0.7,0.5066666666666667,0.49002860998343334,0
100,0.85,0.5066666666666667,0.49002860998343334,0
150,Supervised,0.6,0.5999230143670371,0
150,0.25,0.52,0.5244486285574758,592
150,0.3,0.49333333333333335,0.4956959706959706,532
150,0.35,0.48,0.4667830563482737,485
150,0.4,0.6,0.5999230143670371,0
150,0.5,0.6,0.5999230143670371,0
150,0.7,0.6,0.5999230143670371,0
150,0.85,0.6,0.5999230143670371,0
225,Supervised,0.64,0.6334048101999421,0
225,0.25,0.5333333333333333,0.5287238432066019,596
225,0.3,0.4666666666666667,0.4724656084656084,538
225,0.35,0.5866666666666667,0.5858036157390997,421
225,0.4,0.49333333333333335,0.49343873517786563,203
225,0.5,0.64,0.6334048101999421,0
225,0.7,0.64,0.6334048101999421,0
225,0.85,0.64,0.6334048101999421,0
